;;; 
Export: Release 19.0.0.0.0 - Production on Sun Dec 8 22:10:49 2019
Version 19.3.0.0.0

Copyright (c) 1982, 2019, Oracle and/or its affiliates.  All rights reserved.
;;; 
Connected to: Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production
Starting "SYS"."SYS_EXPORT_FULL_01":  USERID="SYS/********@PDB1 AS SYSDBA" full=Y DIRECTORY=DUMP_GOSALES filesize=5120M DUMPFILE=PDB1.FULL%U.2019120822.dmp logfile=expdpGOSALES.2019120822.log 
Processing object type DATABASE_EXPORT/EARLY_OPTIONS/VIEWS_AS_TABLES/TABLE_DATA
Processing object type DATABASE_EXPORT/NORMAL_OPTIONS/TABLE_DATA
Processing object type DATABASE_EXPORT/NORMAL_OPTIONS/VIEWS_AS_TABLES/TABLE_DATA
Processing object type DATABASE_EXPORT/SCHEMA/TABLE/TABLE_DATA
Processing object type DATABASE_EXPORT/SCHEMA/TABLE/STATISTICS/TABLE_STATISTICS
Processing object type DATABASE_EXPORT/STATISTICS/MARKER
Processing object type DATABASE_EXPORT/PRE_SYSTEM_IMPCALLOUT/MARKER
Processing object type DATABASE_EXPORT/PRE_INSTANCE_IMPCALLOUT/MARKER
Processing object type DATABASE_EXPORT/TABLESPACE
Processing object type DATABASE_EXPORT/PROFILE
Processing object type DATABASE_EXPORT/SCHEMA/USER
Processing object type DATABASE_EXPORT/RADM_FPTM
Processing object type DATABASE_EXPORT/GRANT/SYSTEM_GRANT/PROC_SYSTEM_GRANT
Processing object type DATABASE_EXPORT/SCHEMA/GRANT/SYSTEM_GRANT
Processing object type DATABASE_EXPORT/SCHEMA/ROLE_GRANT
Processing object type DATABASE_EXPORT/SCHEMA/DEFAULT_ROLE
Processing object type DATABASE_EXPORT/SCHEMA/ON_USER_GRANT
Processing object type DATABASE_EXPORT/SCHEMA/TABLESPACE_QUOTA
Processing object type DATABASE_EXPORT/RESOURCE_COST
Processing object type DATABASE_EXPORT/TRUSTED_DB_LINK
Processing object type DATABASE_EXPORT/DIRECTORY/DIRECTORY
Processing object type DATABASE_EXPORT/SYSTEM_PROCOBJACT/PRE_SYSTEM_ACTIONS/PROCACT_SYSTEM
Processing object type DATABASE_EXPORT/SYSTEM_PROCOBJACT/PROCOBJ
Processing object type DATABASE_EXPORT/SYSTEM_PROCOBJACT/POST_SYSTEM_ACTIONS/PROCACT_SYSTEM
Processing object type DATABASE_EXPORT/SCHEMA/PROCACT_SCHEMA
Processing object type DATABASE_EXPORT/EARLY_OPTIONS/VIEWS_AS_TABLES/TABLE
Processing object type DATABASE_EXPORT/EARLY_POST_INSTANCE_IMPCALLOUT/MARKER
Processing object type DATABASE_EXPORT/NORMAL_OPTIONS/TABLE
Processing object type DATABASE_EXPORT/NORMAL_OPTIONS/VIEWS_AS_TABLES/TABLE
Processing object type DATABASE_EXPORT/NORMAL_POST_INSTANCE_IMPCALLOUT/MARKER
Processing object type DATABASE_EXPORT/SCHEMA/TABLE/TABLE
Processing object type DATABASE_EXPORT/FINAL_POST_INSTANCE_IMPCALLOUT/MARKER
Processing object type DATABASE_EXPORT/AUDIT_UNIFIED/AUDIT_POLICY_ENABLE
Processing object type DATABASE_EXPORT/POST_SYSTEM_IMPCALLOUT/MARKER
. . exported "SYS"."KU$_USER_MAPPING_VIEW"               6.140 KB      41 rows
. . exported "GOSALESDW"."EMP_SUCCESSION_STATUS_DIM"     21.71 KB       5 rows
. . exported "GOSALESDW"."EMP_SUMMARY_FACT"              916.2 KB   24233 rows
. . exported "GOSALESDW"."EMP_SURVEY_FACT"               189.0 KB    5725 rows
. . exported "GOSALESDW"."EMP_SURVEY_TARG_FACT"          6.937 KB      20 rows
. . exported "GOSALESDW"."EMP_SURVEY_TOPIC_DIM"          23.21 KB       5 rows
. . exported "GOSALESDW"."EMP_TERMINATION_LOOKUP"        22.45 KB       6 rows
. . exported "GOSALESDW"."EMP_TRAINING_DIM"              67.28 KB      42 rows
. . exported "GOSALESDW"."EMP_TRAINING_FACT"             179.7 KB    4465 rows
. . exported "GOSALESDW"."FIN_ACCOUNT_CLASS_LOOKUP"      22.97 KB       5 rows
. . exported "GOSALESDW"."FIN_ACCOUNT_DIM"               86.52 KB     242 rows
. . exported "GOSALESDW"."FIN_ACCOUNT_NAME_LOOKUP"       425.8 KB     242 rows
. . exported "GOSALESDW"."FIN_ACCOUNT_TYPE_LOOKUP"       25.16 KB       4 rows
. . exported "GOSALESDW"."FIN_FINANCE_FACT"              5.233 MB  164132 rows
. . exported "GOSALESDW"."FIN_SUBM_CURRENCY_LOOKUP"      24.59 KB       7 rows
. . exported "GOSALESDW"."FIN_SUBM_DIM"                  133.8 KB      52 rows
. . exported "GOSALESDW"."FIN_SUBM_TYPE_LOOKUP"          20.47 KB       3 rows
. . exported "GOSALESDW"."GO_BRANCH_DIM"                 15.21 KB      29 rows
. . exported "GOSALESDW"."GO_GENDER_LOOKUP"              18.39 KB       2 rows
. . exported "GOSALESDW"."GO_ORG_DIM"                    18.13 KB     123 rows
. . exported "GOSALESDW"."GO_ORG_NAME_LOOKUP"            165.0 KB     123 rows
. . exported "GOSALESDW"."GO_REGION_DIM"                 58.49 KB      21 rows
. . exported "GOSALESDW"."GO_SATISFACTION_DIM"           23.55 KB       5 rows
. . exported "GOSALESDW"."GO_TIME_DIM"                   1.218 MB    1465 rows
. . exported "GOSALESDW"."GO_TIME_QUARTER_LOOKUP"        24.51 KB      20 rows
. . exported "GOSALESDW"."MRK_ACTIVITY_STATUS_DIM"       19.34 KB       2 rows
. . exported "GOSALESDW"."MRK_ADV_FACT"                  30.83 KB     576 rows
. . exported "GOSALESDW"."MRK_BUNDLE_GROUP_LOOKUP"       32.20 KB      15 rows
. . exported "GOSALESDW"."MRK_CAMPAIGN_LOOKUP"           29.66 KB      12 rows
. . exported "GOSALESDW"."MRK_PRODUCT_SURVEY_DIM"        23.17 KB       7 rows
. . exported "GOSALESDW"."MRK_PRODUCT_SURVEY_FACT"       5.760 MB  165074 rows
. . exported "GOSALESDW"."MRK_PROD_SURVEY_TARG_FACT"     131.4 KB    5824 rows
. . exported "GOSALESDW"."MRK_PROMOTION_DIM"             181.0 KB     112 rows
. . exported "GOSALESDW"."MRK_PROMOTION_FACT"            782.5 KB   11034 rows
. . exported "GOSALESDW"."MRK_PROMOTION_PLAN_FACT"       453.3 KB    8652 rows
. . exported "GOSALESDW"."MRK_RTL_SURVEY_DIM"            27.22 KB       9 rows
. . exported "GOSALESDW"."MRK_RTL_SURVEY_FACT"           764.1 KB   22508 rows
. . exported "GOSALESDW"."MRK_RTL_SURVEY_TARG_FACT"      7.734 KB      64 rows
. . exported "GOSALESDW"."SLS_ORDER_METHOD_DIM"          21.35 KB       7 rows
. . exported "GOSALESDW"."SLS_PRODUCT_BRAND_LOOKUP"      30.21 KB      28 rows
. . exported "GOSALESDW"."SLS_PRODUCT_COLOR_LOOKUP"      28.93 KB      27 rows
. . exported "GOSALESDW"."SLS_PRODUCT_DIM"               34.38 KB     274 rows
. . exported "GOSALESDW"."SLS_PRODUCT_LINE_LOOKUP"       22.84 KB       5 rows
. . exported "GOSALESDW"."SLS_PRODUCT_LOOKUP"            2.134 MB    7946 rows
. . exported "GOSALESDW"."SLS_PRODUCT_SIZE_LOOKUP"       41.83 KB      55 rows
. . exported "GOSALESDW"."SLS_PRODUCT_TYPE_LOOKUP"       30.19 KB      21 rows
. . exported "GOSALESDW"."SLS_RTL_DIM"                   1.929 MB     847 rows
. . exported "GOSALESDW"."SLS_SALES_FACT"                36.78 MB  446023 rows
. . exported "GOSALESDW"."SLS_SALES_ORDER_DIM"           9.776 MB  446023 rows
. . exported "GOSALESDW"."SLS_SALES_TARG_FACT"           8.569 MB  233625 rows
. . exported "GOSALESDW"."XGOREVDW"                      26.52 KB      58 rows
. . exported "GOSALESHR"."DEPARTMENT_LOOKUP"             26.90 KB      12 rows
. . exported "GOSALESHR"."EMPLOYEE"                      161.6 KB     766 rows
. . exported "GOSALESHR"."EMPLOYEE_EXPENSE_DETAIL"       5.407 MB  127997 rows
. . exported "GOSALESHR"."EMPLOYEE_EXPENSE_PLAN"         934.3 KB   37317 rows
. . exported "GOSALESHR"."EMPLOYEE_HISTORY"                115 KB     972 rows
. . exported "GOSALESHR"."EMPLOYEE_SUMMARY"              749.8 KB   24233 rows
. . exported "GOSALESHR"."EMPLOYEE_SURVEY_RESULTS"       196.0 KB    5725 rows
. . exported "GOSALESHR"."EMPLOYEE_SURVEY_TARGETS"       7.445 KB      20 rows
. . exported "GOSALESHR"."EMPLOYEE_SURVEY_TOPIC"         22.71 KB       5 rows
. . exported "GOSALESHR"."EXPENSE_GROUP"                 23.85 KB      10 rows
. . exported "GOSALESHR"."EXPENSE_TYPE"                  53.62 KB      39 rows
. . exported "GOSALESHR"."EXPENSE_UNIT"                  19.32 KB       3 rows
. . exported "GOSALESHR"."GENDER_LOOKUP"                 18.39 KB       2 rows
. . exported "GOSALESHR"."ORGANIZATION"                  167.1 KB     123 rows
. . exported "GOSALESHR"."POSITION_DEPARTMENT"           8.507 KB      45 rows
. . exported "GOSALESHR"."POSITION_LOOKUP"               70.16 KB      45 rows
. . exported "GOSALESHR"."POSITION_SUMMARY"              556.1 KB   15050 rows
. . exported "GOSALESHR"."RANKING"                       20.36 KB       5 rows
. . exported "GOSALESHR"."RANKING_RESULTS"               50.94 KB    1898 rows
. . exported "GOSALESHR"."RECRUITMENT"                   28.15 KB     416 rows
. . exported "GOSALESHR"."RECRUITMENT_MEDIUM"            31.48 KB      14 rows
. . exported "GOSALESHR"."RECRUITMENT_TYPE"              22.96 KB       7 rows
. . exported "GOSALESHR"."SATISFACTION_INDEX"            23.06 KB       5 rows
. . exported "GOSALESHR"."SUCCESSION_DETAILS"            14.96 KB     182 rows
. . exported "GOSALESHR"."SUCCESSOR_STATUS"              21.19 KB       5 rows
. . exported "GOSALESHR"."TERMINATION_LOOKUP"            22.44 KB       6 rows
. . exported "GOSALESHR"."TRAINING"                      66.60 KB      42 rows
. . exported "GOSALESHR"."TRAINING_DETAILS"              115.6 KB    4471 rows
. . exported "GOSALESMR"."PRODUCT_SURVEY_RESULTS"        6.378 MB  165074 rows
. . exported "GOSALESMR"."PRODUCT_SURVEY_TARGETS"        137.1 KB    5824 rows
. . exported "GOSALESMR"."PRODUCT_SURVEY_TOPIC"          22.66 KB       7 rows
. . exported "GOSALESMR"."PROMOTIONS"                    180.1 KB     112 rows
. . exported "GOSALESMR"."PROMOTION_BUNDLE_GROUP"        32.20 KB      15 rows
. . exported "GOSALESMR"."PROMOTION_CAMPAIGN"            29.66 KB      12 rows
. . exported "GOSALESMR"."PROMOTION_PLAN"                494.7 KB    8652 rows
. . exported "GOSALESMR"."RETAILER_SURVEY_RESULTS"       880.4 KB   22508 rows
. . exported "GOSALESMR"."RETAILER_SURVEY_TARGETS"       8.343 KB      64 rows
. . exported "GOSALESMR"."RETAILER_SURVEY_TOPIC"         26.70 KB       9 rows
. . exported "GOSALESRT"."ACTIVITY_STATUS_LOOKUP"        18.85 KB       2 rows
. . exported "GOSALESRT"."RETAILER"                      52.26 KB     562 rows
. . exported "GOSALESRT"."RETAILER_ACTIVITY"             370.1 KB   17754 rows
. . exported "GOSALESRT"."RETAILER_CONTACT"              948.7 KB     847 rows
. . exported "GOSALESRT"."RETAILER_SITE"                 100.1 KB     847 rows
. . exported "GOSALESRT"."RETAILER_SITE_MB"              94.67 KB     847 rows
. . exported "GOSALESRT"."RETAILER_TYPE"                 24.88 KB       8 rows
Master table "SYS"."SYS_EXPORT_FULL_01" successfully loaded/unloaded
******************************************************************************
Dump file set for SYS.SYS_EXPORT_FULL_01 is:
  /u02/bkplogico/PDB1.FULL01.2019120822.dmp
Job "SYS"."SYS_EXPORT_FULL_01" successfully completed at Sun Dec 8 22:17:14 2019 elapsed 0 00:06:23
